순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
508,중단거리용 이동식 레이저 기반 무선전력 전송 기술 개발,2016-11-25,2020-05-24,민군겸용기술개발,응용연구,광주과학기술원,국방과학연구소,"무선전력전송,레이저 원격충전,레이저 셀","wireless power trnasmission,laser power beaming,laser cell","500m/1000m 거리의 지상/비행 이동객체에 실린 광전력 변환모듈에 레이저를 조사하여 300W/600W급 전력 전송을 목표로 함. 이를 위해 고출력 레이저, 전송 광학계, 고속 추적기, 고효율 광전력 변환소자, 전력 충전 및 모니터링 기술을 개발함.",Development of Short/Middle Range Portable Wireless Power Transmission Technologies Based on the Lasers,국방과학연구소\n민군협력진흥원
509,고밀도 커패시터 연구,2014-11-27,2018-11-26,민군겸용기술개발,해당없음,한국전기연구원,국방과학연구소,"고에너지밀도,  커패시터",,,,국방과학연구소
510,생체모방 고분자 신속 지혈제 개발,2016-06-21,2018-06-20,민군겸용기술개발,응용연구,(재)유타-인하 DDS 및 신의료기술개발 공동연구소,국방과학연구소," 지혈제, 하이드로겔, 생체적합성, 생분해성, 점착성","Hemostats, Hydrogel, Biocompatibility, Biodegradable, Adhesiveness ","ㅇ 응용연구에서는 파우더타입의 점착압박형 지혈제 IND 신청, 흡수팽창형 지혈제 원천기술개발, 점착성 하이드로겔 지혈제 시작품 제작을 시험개발에서는 점착압박형 지혈제 임상시험완료, 흡수팽창형 지혈제 시작품 제작, 점착성 하이드로겔 지혈제 제품개발o 점착압박형 지혈제 IND 신청o 흡수팽창형 지혈제 원천기술개발o 점착성 하이드로겔 지혈제 시작품 제작",Development of prompt hemostasis based on biomimic polymer,국방과학연구소
511,카바메이트 및 인 계열 농약 노출의 정성/정량적 검출 신속진단 키트 개발,2016-06-03,2018-06-02,민군기술적용연구사업,해당없음,주식회사 넥스바이오,국방과학연구소,"카바메이트, 유기인, 농약, 아세틸콜린, 아세틸콜린에스터라아제, 바이오센서키트, 바이오튜브키트","Carbamate, organophosphate, pesticide, acetylcholine, acetylcholinesterase, bio-sensor kit, bio-tube kit"," 본 적용연구과제는 국군의학연구소의 ‘신경작용제 노출진단 기법’ 관련 기술을 이전 받아, 살충제인 카바메이트 및 인 계열 의 농약 노출과 중독 여부 등을 정성/정량적으로 신속히 검출 및 진단할 수 있는 키트 개발을 수행함. 본 과제를 통해서 Bio-tube kit 1종, Bio-tube reader 1종, Immuni-Sensor 1종을 개발 완료하였음. 키트 성능을 요약하건대, Bio-tube kit는 판독시간 10분 이내 효소억제농도 30% 이내, 100명 임상평가결과를 확보함. Immuno-Sensor kit는 유기인계와 카바메이트계 키트로 구성하고 있으며 hapten 각 1종, 항원 각 5종, 항체 각 5종, 검출한계평가 1ng/ml 이상, 교차반응성 0.1% 이하의 성능을 보유하고 있음",Development of rapidly qualitative and quantitative detection kit poisoning to carbamate and organophosphate pesticide,(주)넥스바이오
512,위성통신 이동체 탑재용 편파가변 평판형 능동위상배열 안테나 개발,2016-05-31,2018-05-30,민군기술적용연구사업,해당없음,알에프코어주식회사,국방과학연구소,"위성통신, 편파가변, 능동위상배열 안테나","Satellite Communication,Variable Polarization,Active Phased Array Antenna",광대역 이중편파 비발디 안테나 및 다채널 MFC MMIC를 자체 개발하여 이동체에 탑재 및 위성신호 수신용 편파가변 평판형 능동위상배열 안테나를 개발하였음.,Development of the Polarization Variable Planar Active Phase Array Antenna for Satellite On-the-Move,국방과학연구소
513,전방감시 SWIR 카메라 시스템 개발,2016-11-23,2018-11-22,민군기술적용연구사업,해당없음,(주)토핀스,방위사업청,"전방감시, 카메라, 적외선, 단파장","IR CAMERA, SWIR, Surveillance","적으로부터 침투해 오는 전방 상공의 드론을 탐지, 추적 및 요격하는 레이저 요격 장치에 부착하여 안개 등,  시정거리가 제한되는 상황에서도 드론 탐지,  추적에 필요한 영상 획득이 가능한 시스템을 개발한다. ",SWIR Camera System for Forward Looking Surveillance,국방과학연구소
514,음파 탐지 및 분석을 위한 광섬유 Distributed Acoustic Sensor 기술 연구,2015-06-15,2017-06-14,민군겸용기술개발,해당없음,한국광기술원,방위사업청,"분포형 광섬유 센서, 음향 진동 센서, 레일레이 산란, 시간영역 반사파측정, 코히어런트 광검출","Distributed fiber-optic sensor, Acoustic and vibration Sensor, Rayleigh scattering, Optical time domain reflectometry, Coherent detection",o DAS 핵심 광모듈 및 제어기술 개발   - DAS 핵심 부품 및 시스템 정보 수집 및 하드웨어 설계   - 산란광 발생 위치 고정밀 분석을 위한 Perfect square pulse generator 개발   - 광신호 비교분석을 위한 광위상 제어모듈 개발   - 산란광 측정용 고감도 고속 광검출 모듈 개발   - 고속 샘플링 신호처리 모듈 제작 및 테스트o DAS 운용 핵심 전자모듈 및 신호분석기술 개발   - 시간영역 광신호 고속 신호수집 광학부 제어 알고리즘 개발    - 1 m 분해능을 목표로 한 광모듈 연계 펄스신호 제어 회로 개발   - 검출 신호 정확도 개선을 위한 샘플링 및 데이터 평균화 회로 개발 o DAS 시스템 구현 및 통합 소프트웨어 개발   - 핵심 부품 및 H/W 구성 모듈 시스템 집적   - 시스템 구동 및 데이터처리 소프트웨어 개발   - 반복 테스트를 통한 data 확보 및 시스템 최적화   - 시스템 성능 평가,Study on Fiber-optic Distributed Acoustic Sensor for Acoustic Wave Detection and Analysis,한국광기술원
515,고방열 IMFET Package 기술 및 공정개발,2016-06-21,2019-06-20,민군겸용기술개발,시험개발,(주)웨어비스,국방과학연구소,"웨이퍼 단위 패키지 기술, 고주파집적회로, 고방열 패키지 기술","IMFET, MMIC, PCB, Si wafer","고출력 IMFET용 고방열 소재 및 이를 이용한 Package 기술 개발 , 고정밀 PCB 개발",Development of IMFET Package with high thermal conductivity,국방과학연구소
516,안전진단을 위한 광주파수영역반사측정(OFDR) 시스템 개발,2016-06-20,2018-06-21,민군겸용기술개발,응용연구,한국광기술원,민군기술협력센터,"안전진단, 변형센서, 광섬유 분포형 센서, 구조물 건전성 진단, 동적변형","Safety diagnosis, Strain sensor, Fiber-optic distributed sensor, Structural health monitoring, Dynamic strain  ",최대 100 Hz의 속도로 10 m 범위에 대하여 광섬유 기반 실시간 변형률 측정이 가능한 동적 OFDR 시스템 개발 및 시험 적용 연구 수행,Development of optical frequency domain reflectometer for safety diagnosis system,국방과학연구소
517,BRI/RFI 하이브리드 공정에 의한 항공기용 부품 일체 성형 기술 개발,2015-12-01,2018-12-16,민군겸용기술개발,응용연구,코오롱데크컴퍼지트,국방과학연구소,"랜딩기어도어, 카본복합재, 벌크수지주입공정, 수지필름주입공정, 하이브리드 조인트 ","Landing Gear Door, Cabon Composite, Bulk Resin Infusion, Resin Film Infusion, Hybrid Joint",o 공정 개발 및 복합재 성형 물성 정량화o 복합재 부품 설계 및 구조 해석 o 복합재 접합성능 향상 연구 o BRI용 벌크 수지 및 RFI용 필름 제조 공정 개발 o 복합재 부품 설계 및 구조 해석o BRI/RFI 하이브리드 공정 최적화,Development of One-step Composites` Manufacturing Process for Application for Aorcraft using BRI/RFI hybrid,국방과학연구소
518,유기인계 독성물질 중독측정 및 BuChE 탐지키트 개발,2015-05-08,2017-05-07,민군기술적용연구사업,해당없음,㈜이뮨메드,국방과학연구소,"유기인계, 신경작용제, 래피드 테스트, 부티릴콜린에스터레이즈, 항체","Organophosphate, Nerve agent, Rapid test, Butyrylcholinesterase, Antibody","전시 화학무기 공격 시, 신경작용제의 중독여부와 중독정도, 그리고 신경작용제의 종류를 구별탐지할 수 있는 항체 및 진단키트 적용에 대한 연구",Development of rapid detection kit for poisoning measurement of organophosphate and butyrylcholinesterase,국방과학연구소
519,탄소섬유 외장/차폐재를 적용한 0.6/1kV급 선박용 경량화 전선 개발,2015-12-17,2017-12-16,민군겸용기술개발,응용연구,LS전선(주),방위사업청,탄소섬유 외장/차폐재를 적용한 선박용 경량화 전선 개발,Development of  low-weight armored and screened shipboard cables  with carbon fibers,"본 과제의 성공적인 수행을 통해 기존 선박 및 군함 등에 사용되는 전력케이블의 금속외장 및 차폐재를 경량 고강도 탄소섬유로 대체하여 케이블의 경량화와 에너지효율향상을 통한 수송용량과 기동력 향상 및 탄소 배출량 감소효과를 위한 고강도, 경량 선박용 전력케이블 개발을 목표로 함 ",Development of 0.6/1kV low-weight armored and screened shipboard cables  with carbon fibers,국방과학연구소 
520,Al-Si 고합금계 빌렛 연속주조 및 부품 경량화 기술개발,2017-06-10,2019-06-09,민군겸용기술개발,시험개발,(재)포항산업과학연구원,국방과학연구소,"알루미늄, 부품경량화, 알루미늄 실리콘 합금, 비철 연속주조, ","Aluminum, Light Weight Components, Aliminum Silicon Alloy, Continuous Casting","고강도, 내열 및 내마모성이 우수한 Al-Si 합금계 소재의 민수 및 군수용부품에 적용에 있어 초정 Si 크기 및 분산을 제어하여 개량화제 첨가를 극히 제한하고 합금설계를 바탕으로 건전한 고품위 중간소재(빌렛)을 연속주조하고, 이를 후가공 및 부품화하는 기술을 개발",Continuous Casting of Hypereutectic Al-Si Billet and Fabrication of Lightweight Components,국방과학연구소
521,심리상태 진단용 다중생체분자 Biomarker 분석기술연구,2014-12-18,2017-12-17,민군겸용기술개발,해당없음,울산과학기술대학교,국방과학연구소,"생물정보, 대용량 오믹스, 바이오마커, 자살, 진단","Bioinformatics, Multi-omics, Biomarker, Suicide, Diagnosis","차세대서열분석기법 등을 활용하여 자진 및 중증우을증 환자 특이적인 인자를 확인함. 뇌영상 분석을 통한 바이오마커를 발굴함. 마커에 대하여 기계학습 등과 같은 방법을 통하여 각 오믹스 데이터들을 통합, 스코어링 시스템으로 활용함.",Discovery of Multi-omics Biomarkers\nfor Predicting Severe Psychological Stress Responses,울산과학기술대학교
522,유도무기 및 항공기 탑재장비용 DC/DC변환장치 개발,2015-05-08,2017-05-07,민군기술적용연구사업,응용연구,㈜피앤이솔루션,국방과학연구소,"직류전원변환장치, 군용, 유도무기, 항공기","DC/DC Converter, Military, Guided Weapon, Aircraft", 현재 전량 수입에 의존하는 유도무기 및 항공기 탑재전자장비용 소형 DC/DC 변환장치 및 요소기술을 개발하여 군사용으로 사용되는 핵심부품의 국산화를 통한 자주국방력 강화 및 잠재적 수출통제 부품의 수급문제를 해결하기 위해 본 연구를 수행함. 본 연구의 완성을 위해 절연형 변환장치에 적용할 수 있는 다양한 토플로지에 대한 적용 가능성을 분석하고 시뮬레이션 플랫폼 구축 및 해석을 통하여 군사용으로 적용 가능한 최적의 토플로지를 선정함. 선정된 토플로지에 열해석을 바탕으로 한 소형 모듈화 설계기술을 융합하여 군사용으로 사용가능한 절연형 DC/DC 컨버터를 개발함. 개발된 컨버터의 성능시험 및 내환경 시험을 수행하기 위한 탑재장비용 DC/DC 컨버터의 성능시험 장치를 개발하여 시험평가를 수행함. 최종적으로 개발된 DC/DC 컨버터를 유도무기용 탑재전자장비에 탑재하여 적용성 시험평가를 수행함.,Development of DC/DC Converter for Guided Weapon and Aircraft,국방과학연구소
523,최고가속도 3m/sec2급 2차원 트레드밀 타입 이동 인터페이스 개발,2017-06-10,2019-06-09,민군겸용기술개발,시험개발,한국전자통신연구원,국방과학연구소,"고가감속 2차원 트레드밀, 이동인터페이스, 전방향 트레드밀, 보병훈련시스템, 가상 현실 ","F-ODT, ODT, DSTS, VR, FPS","고가감속 2차원 트레드밀 기반 이동 인터페이스 기술 개발, 상용 게임 엔진 기반 가상환경 제공기술 개발, 이동 인터페이스 및 가상환경 제어를 위한 훈련자 모션 분석 기술 개발",Development of Locomotion Interface based on Two-dimensional Treadmill with 3m/sec2 Class of Maximum Acceleration,국방과학연구소
524,산화성 가스를 이용한 살균기술 개발,2017-06-26,2019-06-25,민군기술적용연구사업,응용연구,씨트론주식회사,방위사업청,"이산화염소, 살균가스, 살균, 휴대용, 이동형","Chlorine-dioxide, Sterilization Gas, Sterilization, Portable, Mobile","휴대용 이산화염소 발생장치와 이동형 이산화염소 발생장치의 시제품을 제작하여 성능평가를 진행하여 성과를 거뒀으며, 이로 인하여 새로운 살균제품 시장 개척에 기여할 것으로 기대된다.",Development of Sterilization Technology based on Oxidant gas,국방과학연구소
525,탄소계 하이브리드형 다차원 직조물을 이용한 고성능 복합재 개발,2014-06-23,2017-06-22,민군겸용기술개발,응용연구,㈜넥스컴스,국방과학연구소,"탄소섬유복합재, 구조재, 내열재, 다차원 프리폼, 프리프레그","Carbon fiber reinforced plastic, Structural material, Heat-resistant material, Multi-dimensional preform, Prepreg","내열용 무기계 매트릭스, 다차원 직조물 프리폼(Needle punching, Braiding, TFP), 복합재 성형공정, 수지필름 프리프레그, 3차원 직물 복합재 해석 모델 개발",High Performance Composite using Multi Dimensional Woven Hybrid Carbon,국방과학연구소
526,탄소계 하이브리드형 다차원 직조물을 이용한 고성능 복합재 개발,2017-07-07,2019-07-06,민군겸용기술개발,시험개발,(주)넥스컴스,국방과학연구소,"탄소섬유복합재, 구조재, 내열재, 다차원 프리폼, 프리프레그","Carbon fiber reinforced plastic, Structural material, Heat-resistant material, Multi-dimensional preform, Prepreg","프리프레그, 성형기술, 복합재 해석 모델 개발을 통한 고성능 복합재 제품(발사체 보강링, 자동차 로워암, 흡기튜브, 배기튜브, 노즐) 제작",High Performance Composite using Multi Dimensional Woven Hybrid Carbon,국방과학연구소
527,난연 궤도차량 승무원 점퍼 및 조종 점퍼,2018-07-06,2024-08-31,전력지원체계,응용연구,삼일방㈜,국방기술품질원,"궤도차량, 헬기, 난연성, 아라미드, 점퍼","Tracked vehicle, Helicopter, Flame resistance, Aramid, jumper","운용중인 궤도차량 승무원 점퍼와 항공피복인 조종 점퍼는 화재 발생에 취악한 재질 및 혹한기 보온성이 미흡함에 따라 난연성, 위장성 및 보온성 증대를 위한 점퍼류 개발",Flame resistance jumper for tracked vehicle pilots and crew,국방기술품질원
528,궤도차량 승무원 전투화 및 함상화,2018-07-06,2021-06-30,전력지원체계,응용연구,(주)고려티티알,국방기술품질원,"난연성 궤도차량 승무원 전투화,난연성 함상화",Flame retardant tracked vehicle boots and battleshep boots,,Development of flame retardant tracked vehicle boots and battleship boots,국방기술품질원
529,경량화 지뢰보호 헬멧,2018-07-06,2022-03-31,전력지원체계,응용연구,경창산업,국방부,경량화 지뢰보호 헬멧,Lightweight Anti,"○ 연구개발 범위는 헬멧의 방탄성능 향상, 내구성 향상, 착용 및 운용 편의성을 향상과 바이저의 방호성능 향상, 시야굴절방지, 음성전달 용이, 김서림방지와 표면 마모저항 향상이며 개발내용은 아래와 같음. - 신세대 장병의 두상 표준화 - 인체공학적 설계 및 군임무에 적합한 형상의 쉘 설계 - 방탄성능이 향상된 방탄소재 및 쉘 개발 - 착용 및 운용편의성이 향상된 내장재 개발 - 바이저 방호성능 향상 - 바이저 김서림 방지와 표면 마모저항 향상 - 시제품 제작 - 시험평가 방법 연구 - 군 적용 시험평가",Lightweight Anti-personnel mine protect helmet,국방기술진흥연구소
530,함정 및 해상 임무용 드론시스템 개발,2018-12-21,2022-06-30,민군겸용기술개발,시험개발,(주)화인코왁,국방과학연구소,"드론, 멀티콥터, 무인항공기","DRONE, MULTICOPTER, UAV, Unmanned Aerial Vehicle ",○ 함상 이착륙 및 해상 임무비행이 가능한 드론 제어시스템 및 착함 장치 개발, Development of Dron System for Ship and Marine Mission,국방과학연구소
531,No melt No drip 및 위장성능 동시발현 전투복 소재 개발,2020-04-29,2022-07-28,민군기술적용연구사업,응용연구,한국섬유개발연구원,국방과학연구소,"전투복, 위장성, 연소성, 용융, 적하","combat uniform, camouflage, flammability, melt, drip","○ No melt, No drip 난연성 부여를 위한 소재 원료 선정 및 혼용률 최적화○ 강도 유지, 항 필링성, 통기성, 신축성 등을 고려한 직물 제직 최적화○ 소요군 요구색상 발현 및 날염 조건 확립 등○ NIR(Near Infrared) 위장성 충족을 위한 염료 및 조제 선정 최적화○ 개발 시제품 원단의 이화학 시험분석을 통한 개발목표 달성여부 확인○ 개발 시제품(완제품) 제작을 통한 세탁내구성, 위장성, 수축성 등 연구",Development of Combat Uniform Material with No melt no drip & Camouflage,국방과학연구소
532,난연성 궤도차량 승무원 전투화 및 함상화,2018-07-06,2021-06-30,민군겸용기술개발,해당없음,(주)고려티티알,국방부,"난연성, 궤도차량승무원전투화, 함상화, 연구개발","flame resistance, tracked vehicle pilot boots, battleship boots, Development","○ 난연 외피원단(100%Aramid)사용○ 내유성,미끄럼저항 고무 신규배합○ 쿠션력증대 위한 미드솔 신규배합○ 함상화 자크부착, 끈고리 클립부착으로 작전활동성 보장○ 군사요구도(ROC) 100% 충족",Development of flame resistancet,국방기술진흥연구소
533,드론 Swarm 및 Auto Landing을 위한 50g급 충돌방지 및 고도탐지용 극소전력 임펄스 레이더 센서 개발,2018-06-22,2021-12-21,민군겸용기술개발,응용연구,실리콘알엔디(주),국방과학연구소\n민군협력진흥원,"드론 충돌방지 센서, 드론 고도탐지 센서, 임펄스 레이더 센서, 극소전력 레이더 센서 SoC칩, 초소형 레이더 센서","drone collision avoidance sensor, drone altimeter sensor, Impulse radar sensor, ultra low power radar sensor SoC chip, small radar sensor","○ 임펄스 (UWB : Ultra Wide Band) 기반 신호처리부 회로 등이 모두 집적된 극소전력 센서 단일칩을 개발○ 개발된 SoC칩을 위한 센서용 초소형 패키지 기술 및 안테나 기판 내장기술의 개발○ 센서 SoC기술과 초소형 패키징기술의 융합으로 SWAP(Small, Weight, And low Power)이 실현된 초소형, 초경량, 극소전력 충돌방지 및 고도탐지 센서모듈의 개발.○ 드론 충돌방지 및 고도탐지를 위한 신호처리 알고리즘 개발 센서플랫폼의 드론 탑재 시험을 통한 검증",A 50g weighted ultra low power impulse radar sensor for collision avoidance of drone swarm and auto-landing altitude detection,국방과학연구소
534,정찰 감시용 이륙 중량 110kg급 무인헬기 개발,2017-08-30,2019-11-29,민군기술적용연구사업,해당없음,방위사업청,국방과학연구소,"무인헬기, 이륙중량 110kg급, 정찰용","unmanned helicopter ,take -off weight 110kg, Reconnaissance",현재 민수용 (농업용 항공방제)으로 활용중인 무인헬기인 RemoH-V2 모델에 자동항법 기능을 추가한 SD-110 무인헬기를 기반으로 군사용 정찰/감시용 무인헬기 시스템 개발,Development of take -off weight 110kg unmanned helicopter for reconnaissance and surveillance,국방과학연구소
535,화학작용제 검출 변색소재 및 섬유패치 개발,2018-06-26,2021-06-25,민군겸용기술개발,시험개발,울산과학기술원,국방과학연구소,"탐지 섬유 패치, 화학작용제, 산업 독성 물질, 변색, 안정성","Detection fiber patch, Chemical warfare agent, Toxic industrial chemicals (TIC), Discoloration, Stability","○ 화학작용제 및 TIC 탐지 변색소재 개발이 선행되어야하며 개발된 원천 기술을 바탕으로 TIC 탐지 테이프, 화학작용제 탐지 섬유패치 개발 기술들을 구현하고자 함.○ 화학작용제 및 산업 독성화학물질 노출 시 20초 이내 Hue 각도 20도 이상의 색상변화를 일으키며,  야전상황 온습도 조건과 간섭물질에 안정성을 지니는 변색 섬유패치 개발.",Development of colorimetric sensor materials and textile patches for warefare agent detection,국방과학연구소
536,백상어 연습탄용 리튬전지 개발,2018-08-28,2020-08-27,민군기술적용연구사업,해당없음,(주코캄,국방과학연구소,백상어,White shark,군에서 사용 중인 백상어의 연습용전지인 아연산화은 2차 전지를 리튬전지로 1:1교체 가능한 제품 개발 후 해군의 지원을 받아 잠수함에서 발사시험을 수행하여 최종 성능을 확인하고 규격화를 위한 국방규격서(안) 등을 작성.,Development of lithium battery for White-shark heavy weight torpedo exercise firing,국방과학연구소
537,OpenGIS 기술을 이용한 Automated Cartography 기술 개발,2018-05-25,2020-05-24,민군기술적용연구사업,응용연구,네이버시스템(주),국방과학연구소,"OpenGIS, 군사지도 제작 자동화 시스템 개발, 소축척 자동화 시스템 개발","OpenGIS, Development of Automated Military Map Production System, Development of Small Scale Automation System","○ 자동화 지원 최적 DB 변환도구 개발   - FDB 기반의 지도원으로부터 작전용 지도를 생성하기 위한 최적 DB 추출   - 향후 지도제작 자동화 공정에 소요될 최적 DB로의 자동변환 도구 개발○ 군사지도 제작 자동화 시스템 개발   - Quantum GIS 기반 기술 및 Python script에 기반한 지도제작 자동화 기술 개발   - 군 도식 규격을 적용한 일반화, 전이화, 주기화 및 난외주기 생성 공 정에 맞는 자동화 프로세스 개발○ 소축척 자동화 시스템 개발   - 소축척 지도 구현시 군 도식규정 반영   - 1/5만, 10만, 25만, 50만, 100만 소축척 자동화 프로세스 개발",Development of Automated Cartography Technology Using OpenGIS,국방과학연구소
538,안전진단을 위한 광주파수영역반사측정(OFDR) 시스템 개발,2018-06-26,2020-12-25,민군겸용기술개발,시험개발,한국광기술원,민군기술협력센터,"안전진단, 변형센서, 광섬유 분포형 센서, 구조물 건전성 진단, 동적변형","Safety diagnosis, Strain sensor, Fiber-optic distributed sensor, Structural health monitoring, Dynamic strain  ",최대 100 Hz의 속도로 10 m 범위에 대하여 광섬유 기반 실시간 변형률 측정이 가능한 동적 OFDR 시스템 개발 및 시험 적용 연구 수행,Development of optical frequency domain reflectometer for safety diagnosis system,국방과학연구소
