순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
1,포장규격 표준화 및 민수규격과의 통일 Ⅰ,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장, 표준화","Packaging, Standardization","포장표준화 및 포장제원표 통일화, 포장규격 작성지침(안) 작성, 민군포장설계 및 검색 전산화 SW개발",A Study on Unification of the Packaging Specifications by Standardization,국방과학연구소
2,포장규격 표준화 및 민수규격과의 통일 Ⅱ,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장, 표준화","Packaging, Standardization","포장표준화 및 포장제원표 통일화, 포장규격 작성지침(안) 작성, 민군포장설계 및 검색 전산화 SW개발",A Study on Unification of the Packaging Specifications by Standardization,국방과학연구소
3,포장규격 표준화 및 민수규격과의 통일 Ⅲ,2003-08-01,2004-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장, 표준화","Packaging, Standardization","포장표준화 및 포장제원표 통일화, 포장규격 작성지침(안) 작성, 민군포장설계 및 검색 전산화 SW개발",A Study on Unification of the Packaging Specifications by Standardization,국방과학연구소
4,민군포장설계 및 검색 전산화 소프트웨어 개발 Ⅰ,2004-09-01,2005-08-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장설계, 전산화, SW","Packaging Design, Software","포장설계 프로그램 현황조사 및 기능분석, 포장 유통환경 Business Process 분석, 군수품 포장규격 전산화(DB구축 및 검색 프로그램 개발)",Development of Computerized Software for Military and Commercial Packaging Design and Search,국방과학연구소
5,민군포장설계 및 검색 전산화 소프트웨어 개발 Ⅱ,2005-08-01,2006-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장설계, 전산화, SW","Packaging Design, Software","포장설계 프로그램 현황조사 및 기능분석, 포장 유통환경 Business Process 분석, 군수품 포장규격 전산화(DB구축 및 검색 프로그램 개발)",Development of Computerized Software for Military and Commercial Packaging Design and Search,국방과학연구소
6,한국산업표준(KS)과 국방규격의 부합화 연구 I,2007-11-01,2008-08-31,민군규격표준화사업,해당없음,한국표준협회,국방과학연구소,"한국산업표준, 국방규격, 부합화","KS, KDS, Harmonization","국방규격에 인용된 외국규격의 KS표준 전환 연구, 국방규격 원문 재 작성 및 국방규격 개정안 반영, 도면 DB 구축 및 검색 프로그램 개발, 부합화 효과 분석을 위한 설문 분석 등",A Study onf the Harmonization of Korean Industrial Standards and Military Specifications,국방과학연구소
7,한국산업표준(KS)과 국방규격의 부합화 연구 Ⅱ,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,한국표준협회,국방과학연구소,"한국산업표준, 국방규격, 부합화","KS, KDS, Harmonization","국방규격에 인용된 외국규격의 KS표준 전환 연구, 국방규격 원문 재 작성 및 국방규격 개정안 반영, 도면 DB 구축 및 검색 프로그램 개발, 부합화 효과 분석을 위한 설문 분석 등",A Study onf the Harmonization of Korean Industrial Standards and Military Specifications,국방과학연구소
8,민군 공용항공기 감항기술기준 제정 Ⅰ,2004-09-01,2005-08-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
9,석면함유제품 및 환경유해물질 실태조사 및 대처방안 연구,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,한국품질재단,국방과학연구소,"석면, 환경유해물질, 대처방안"," Asbestos Containing Products, Environmentally Hazardous Substances","석면 함유 군수품 2,234 품목의 대응방안 제시, 환경유해물질 대응방안 제시, 석면 및 환경유해물질 사용금지 규정(안) 도출",A Study on The Asbestos Containing Products of Military Supplies and Environmentally Hazardous Substances and Research on Response to The Problems,국방과학연구소
10,저탄소 녹색성장 구현을 위한 규격대처방안 연구,2009-09-01,2010-08-31,민군규격표준화사업,해당없음,한국품질재단,국방과학연구소,"저탄소, 대처","Low Carbon, Substitution","군수품 환경유해물질 함유 현황 및 대처방안, 고효율 에너지 절감형 민수기술 도입방안, 친황경 포장재 및 포장기법, 그린에너지 활용 및 녹색성장 구현을 위한 군수품의 국방규격 발전방향 연구",A Study on The Substitution of Standards for Fulfillment of Low Carbon and Green Growth,국방과학연구소
11,기계요소류 규격통일화 연구 Ⅰ,1999-08-01,2000-07-31,민군규격표준화사업,해당없음,한국항공우주연구소,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
12,기계요소류 규격통일화 연구 Ⅱ,2000-08-01,2001-06-30,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
13,기계요소류 규격통일화 연구 III,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
14,기계요소류 규격통일화 연구 IV,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
15,기계요소류 규격통일화 연구 Ⅴ,2003-08-01,2004-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
16,민군 공용항공기 감항기술기준 제정 Ⅱ,2005-08-01,2006-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
17,민군 공용항공기 감항기술기준 제정 Ⅲ,2006-08-01,2007-08-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
18,민군 공용항공기 감항기술기준 제정 Ⅳ,2007-09-01,2008-08-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
19,민군기술용어 표준화 및 협업지원체계 구축 Ⅰ,2012-09-01,2013-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"민군기술용어, 표준화, 협업지원체계","Terms in Military & Commercial Specifications, Collaboration Support System",군수품 및 민수품 규격용어의 표준화와 이를 지원하는 정보체계의 구축,An Standardization Method of Terms in Military & Commercial Specifications and its Implementation of Collaboration Support System,국방과학연구소
20,민군포장설계 및 검색 전산화 소프트웨어 개발 Ⅲ,2006-08-01,2007-08-31,민군규격표준화사업,해당없음,(주)포장법인정명,국방과학연구소,"포장설계, 전산화, SW","Packaging Design, Software","포장설계 프로그램 현황조사 및 기능분석, 포장 유통환경 Business Process 분석, 군수품 포장규격 전산화(DB구축 및 검색 프로그램 개발)",Development of Computerized Software for Military and Commercial Packaging Design and Search,국방과학연구소
21,방투습원단 및 내의류 규격 현실화를 위한 민군규격표준화 연구 Ⅰ,2015-09-01,2016-08-31,민군규격표준화사업,해당없음,FITI시험연구원,국방과학연구소,"방투습 원단, 내의류, 현실화","Dampproofing, underware, specification, realization"," 방·투습 섬유제품과 내의류에 대한 분류 체계화, 피복·복제류 국방규격에 적용되는 일부 부자재류의 품질수준 현실화, 군수품 및 상용품의 성능 구현을 위한 필수항목 설정 및 시험방법 표준화, 민군규격표준화 적용을 위한 합리적인 기준, 규격(안), 구매요구서(안) 제시","A civil-military standardization investigation on the specification readjustment of water-proof & breathable fabrics, underwears and subsidiary materials",국방과학연구소
22,군수품 무연땜납 적용방안  및 규격 대체 방안 연구 Ⅰ,2010-11-01,2011-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"군수품, 무연땜납","military electronics, Lead-Free Soldering",무연납과 관련된 국제적인 연구동향 조사 및 국방분야 무연솔더 적용을 위한 기초자료 제시,The Study on the application of Lead-Free Soldering and standard change in military electronics,국방과학연구소
23,K계열 장비 공통부품 표준화 및 민수규격 적용 방안 연구,2011-11-01,2012-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"K계열 장비, 표준화","K-series Weapon Systems, Standardization","K계열 궤도장비에 사용되는 부품과 장비간 공통적용 가능품목 기술검토 및 기술변경 제안, 시험절차서 정비 및 표준화",A Study for the Practical Standardization of Common Parts in the K-series Weapon Systems,국방과학연구소
24,군수품 무연땜납 적용방안 및 규격 대체 방안 연구 Ⅱ,2011-11-01,2012-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"군수품, 무연땜납","military electronics, Lead-Free Soldering",무연납과 관련된 국제적인 연구동향 조사 및 국방분야 무연솔더 적용을 위한 기초자료 제시,The Study on the application of Lead-Free Soldering and standard change in military electronics,국방과학연구소
25,민군기술용어 표준화 및 협업지원체계 구축 Ⅱ,2013-09-01,2014-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"민군기술용어, 표준화, 협업지원체계","Terms in Military & Commercial Specifications, Collaboration Support System",군수품 및 민수품 규격용어의 표준화와 이를 지원하는 정보체계의 구축,An Standardization Method of Terms in Military & Commercial Specifications and its Implementation of Collaboration Support System,국방과학연구소
26,민군기술용어 표준화 및 협업지원체계 구축 Ⅲ,2014-09-01,2015-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"민군기술용어, 표준화, 협업지원체계","Terms in Military & Commercial Specifications, Collaboration Support System",군수품 및 민수품 규격용어의 표준화와 이를 지원하는 정보체계의 구축,An Standardization Method of Terms in Military & Commercial Specifications and its Implementation of Collaboration Support System,국방과학연구소
27,군 작전운용성능에 부합한 환경시험기준 표준제정 연구 Ⅰ,2014-09-01,2015-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"작전운용성능, 환경시험, 표준제정","ROC, Environmental Test, Standard","한반도를 중심으로 한 동북아 지역의 기후데이터에 대한 통계적 분석, 온도가속시험 설계 및 데이터 분석, 한반도에 최적화된 환경시험조건 설정을 위한 테일러링 가이드라인 개발, 군 운용환경을 고려한 기후관련 환경시험법에 대한 국방표준의 제정",A Study for the Environmental Test Standization to aid the Development of Required Operational Capability,국방과학연구소
28,국방도면의 원·부자재 규격현실화 연구 및 후속조치 Ⅰ,2014-09-01,2015-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"국방도면, 원, 부자재, 현실화","KDS, drawing, raw&sub material, realization","원, 부자재규격 추출 및 DB화, 기술변경(안) 도출 및 제안",A study on the specification rationalization of raw and subsidiary materials in Korean military drawings and its follow-up actions,국방과학연구소
29,베어링 규격 표준화 및 민군통합 관리방안 연구 Ⅳ,2015-09-01,2016-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"베어링, 규격 표준화","Bearing, Standardizing specifications","군수체계장비 운용조건 자료조사 및 검토 및 DB구축, 베어링 도면 규격 양식 표준화, 호환가능 상용규격 조사",A Study on Bearing Standard Unification and Military & Commercial Integrated Management,국방기술품질원
30,군 작전운용성능에 부합한 환경시험기준 표준제정 연구 Ⅱ,2015-09-01,2016-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"작전운용성능, 환경시험, 표준제정","ROC, Environmental Test, Standard","한반도를 중심으로 한 동북아 지역의 기후데이터에 대한 통계적 분석, 온도가속시험 설계 및 데이터 분석, 한반도에 최적화된 환경시험조건 설정을 위한 테일러링 가이드라인 개발, 군 운용환경을 고려한 기후관련 환경시험법에 대한 국방표준의 제정",A Study for the Environmental Test Standization to aid the Development of Required Operational Capability,국방기술품질원
31,국방도면의 원·부자재 규격현실화 연구 및 후속조치 Ⅱ,2015-09-01,2018-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"국방도면, 원, 부자재, 현실화","KDS, drawing, raw&sub material, realization","원, 부자재규격 추출 및 DB화, 기술변경(안) 도출 및 제안",A study on the specification rationalization of raw and subsidiary materials in Korean military drawings and its follow-up actions,국방기술품질원
32,국방규격 체계정립 및 국제규격 수준화 Ⅱ,2005-08-01,2006-07-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,"국방규격, 수준화","KDS, leveling","국내,외 규격/표준 발전동향 조사분석, 성능형 규격 작성 활성화",A study on a systematic buildup of Military Specification and leveling of International Specification,국방과학연구소
33,국방규격 체계정립 및 국제규격 수준화 Ⅲ,2006-08-01,2007-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,"국방규격, 수준화","KDS, leveling","국내,외 규격/표준 발전동향 조사분석, 성능형 규격 작성 활성화",A study on a systematic buildup of Military Specification and leveling of International Specification,국방과학연구소
34,국방규격 체계정립 및 국제규격 수준화 Ⅳ,2007-09-01,2008-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,"국방규격, 수준화","KDS, leveling","국내,외 규격/표준 발전동향 조사분석, 성능형 규격 작성 활성화",A study on a systematic buildup of Military Specification and leveling of International Specification,국방과학연구소
35,한국적 ASSIST 구축방안 연구 Ⅰ,2007-11-01,2008-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,국방표준정보시스템,Korean Defense Standardization Information System,"국내외 획득/표준, 규격관련 정보체계 분석 및 한국적 국방 표준화 정보체계 구축",A Conceptual Study on a buildup of Korean Defense Standardization Information System,국방과학연구소
36,국방규격 체계정립 및 국제규격 수준화 Ⅴ,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,"국방규격, 수준화","KDS, leveling","국내,외 규격/표준 발전동향 조사분석, 성능형 규격 작성 활성화",A study on a systematic buildup of Military Specification and leveling of International Specification,국방과학연구소
37,한국적 ASSIST 구축방안 연구 Ⅱ,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,국방표준정보시스템,Korean Defense Standardization Information System,"국내외 획득/표준, 규격관련 정보체계 분석 및 한국적 국방 표준화 정보체계 구축",A Conceptual Study on a buildup of Korean Defense Standardization Information System,국방과학연구소
38,민군표준화사업 활성화를 위한 기반 연구,2009-09-01,2010-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,"민군규격표준화사업, 활성화","Military and Commercial Standardization, Activation","국내외 민·군 표준화 사업 동향, 민·군 표준화 사업 중·장기 로드맵 구체화, 국방연구개발과 표준화 활동 연계방안, 민·군겸용기술의 국가·국제 표준화 방안",A Study on the Infrastructure for Activation of Military and Commercial Standardization,국방과학연구소
39,국방규격 작성 템플릿 소프트웨어 개발,2009-09-01,2010-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,"국방규격, 템플릿, 소프트웨어","KDS, Templete, Software","표준화된 국방규격 작성 템플릿 S/W 개발을 위해 국내/외 연구현황 분석, 선진 표준/규격 템플릿 소프트웨어의 벤치마킹 연구, 템플릿 소프트웨어 구축 기반 분석 및 양식 설계를 위한 규격부서 실무자와의 주기적인 의견수렴, 기존규격 통합관리 정보체계 및 DB 연계성을 고려한  템플릿 소프트웨어 개발",A Software Development of Korea Defense Specification Template,국방과학연구소
40,민군규격통일화사업 효율성평가 및 성과분석,2010-11-01,2011-08-31,민군규격표준화사업,해당없음,국방대학교,국방과학연구소,"민군규격통일화사업, 효율성, 평가","Military and Commercial Specifications Unification Project, Efficiency, analysis","일반적 성과분석 방법론 연구, 1~3단계 민군규격통일화사업 연구결과 후속조치 실적 분석 및 4단계 기본방향 제시",A study on the Efficiency and Performance analysis of the Military and Commercial Specifications Unification Project,국방과학연구소
41,국내외 규격조사 분석 Ⅰ,1999-08-01,2000-07-31,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"규격, 표준","Specification, standardardization","국내,외 민수규격 현황 및 발전방향 조사 분석",A study on the status of domestic and foreign standards,국방과학연구소
42,건전지류 규격통일화 연구,1999-08-01,2000-07-31,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"건전지류, 규격통일화","Battery, unifications","각종 전지류 기술개요 및 특성 고찰, 민군건전지류 규격현황분석, 민수와 군용 단일전지류에 대한 통일화 가능성 연구, 집합전지의 국방규격 단일화 방안",A study on the battery`s specifications unification,국방과학연구소
43,국내외 규격조사 분석 Ⅱ,2000-08-01,2001-06-30,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"규격, 표준","Specification, standardardization","국내,외 민수규격 현황 및 발전방향 조사 분석",A study on the status of domestic and foreign standards,국방과학연구소
44,국내외 규격조사 분석 Ⅲ,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"규격, 표준","Specification, standardardization","국내,외 민수규격 현황 및 발전방향 조사 분석",A study on the status of domestic and foreign standards,국방과학연구소
45,국내외 규격조사 분석 Ⅳ,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"규격, 표준","Specification, standardardization","국내,외 민수규격 현황 및 발전방향 조사 분석",A study on the status of domestic and foreign standards,국방과학연구소
46,국내외 규격조사 분석 Ⅴ,2003-08-01,2004-07-31,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"규격, 표준","Specification, standardardization","국내,외 민수규격 현황 및 발전방향 조사 분석",A study on the status of domestic and foreign standards,국방과학연구소
47,비무기체계 표준품목의 상용전환 연구 Ⅴ,2003-08-01,2004-07-31,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"비무기체계, 상용전환","Non-weapone system, Conversion to Commercial Item",비무기체계 표준품목으로 지정되어있는 국방조달 품목을 상용품목으로 전환할 수 있는 가능성 분석 및 구체적 전환방안 도출,A Study on the Conversion to Commercial Item from Standardized Item in Non-Weapon Systems,국방과학연구소
48,국방규격 체계정립 및 국제규격 수준화 Ⅰ,2004-09-01,2005-08-31,민군규격표준화사업,해당없음,국방품질관리소,국방과학연구소,"국방규격, 수준화","KDS, leveling","국내,외 규격/표준 발전동향 조사분석, 성능형 규격 작성 활성화",A study on a systematic buildup of Military Specification and leveling of International Specification,국방과학연구소
49,민군 신뢰성 관련 규격의 통일화 및 표준화 Ⅰ,2004-09-01,2005-08-31,민군규격표준화사업,해당없음,동양대학교,국방과학연구소,"신뢰성, 표준화","Reliability Specifications, Standardization","한국 국방 신뢰성의 장기 종합 발전계획 수립, 민군규격 통일화, 한국의 운용단계 신뢰성 평가방안 구축",A Study on the Unifying and Standardizing for Military and Commercial Reliability Specifications,국방과학연구소
50,민군 신뢰성 관련 규격의 통일화 및 표준화 Ⅱ,2005-08-01,2006-07-31,민군규격표준화사업,해당없음,동양대학교,국방과학연구소,"신뢰성, 표준화","Reliability Specifications, Standardization","한국 국방 신뢰성의 장기 종합 발전계획 수립, 민군규격 통일화, 한국의 운용단계 신뢰성 평가방안 구축",A Study on the Unifying and Standardizing for Military and Commercial Reliability Specifications,국방과학연구소
51,민군 신뢰성 관련 규격의 통일화 및 표준화 Ⅲ,2006-08-01,2007-08-31,민군규격표준화사업,해당없음,동양대학교,국방과학연구소,"신뢰성, 표준화","Reliability Specifications, Standardization","한국 국방 신뢰성의 장기 종합 발전계획 수립, 민군규격 통일화, 한국의 운용단계 신뢰성 평가방안 구축",A Study on the Unifying and Standardizing for Military and Commercial Reliability Specifications,국방과학연구소
52,민군 EMI/EMC 규격의 호환성 연구,2008-01-01,2008-08-31,민군규격표준화사업,해당없음,동양대학교,국방과학연구소,"전자파, 호환성","EMI/EMC, Compatibility","미국방성 연구 흐름 분석과 미국방성 연구 보고서 활용 연구 상황 조사 즉 EPS 연구 보고서 번역 및 분석, SD-2 연구 보고서 번역 및 분석, MIL-HDBK-237D 연구 보고서 번역 및 분석, 상용 제품의 군용 적용 사례 조사 및 분석",A Study on a Compatibility of Military and Commercial EMI/EMC Specification,국방과학연구소
53,표준부품 공용적용확대를 위한 KS보완 및 설계기반 구축 Ⅰ,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,부산대학교,국방과학연구소,"표준부품, 공용적용확대","supplies field, public application expansion","부품식별체계 분석 및 연구, 표준부품 DB구축, 민군 공통 코드 체계 구축 등",KS Complement and basic design building for public application expansion of civil and military supplies field,국방과학연구소
54,표준부품 공용적용 확대를 위한 KS보완 및 설계기반 구축 Ⅱ,2009-09-01,2010-08-31,민군규격표준화사업,해당없음,부산대학교,국방과학연구소,"표준부품, 공용적용확대","supplies field, public application expansion","부품식별체계 분석 및 연구, 표준부품 DB구축, 민군 공통 코드 체계 구축 등",KS Complement and basic design building for public application expansion of civil and military supplies field,국방과학연구소
55,표준부품 공용적용 확대를 위한 KS보완 및 설계기반 구축 Ⅲ,2010-11-01,2011-08-31,민군규격표준화사업,해당없음,부산대학교,국방과학연구소,"표준부품, 공용적용확대","supplies field, public application expansion","부품식별체계 분석 및 연구, 표준부품 DB구축, 민군 공통 코드 체계 구축 등",KS Complement and basic design building for public application expansion of civil and military supplies field,국방과학연구소
56,디지털모델기반의 제품 전수명주기 관리,2010-11-01,2011-08-31,민군규격표준화사업,해당없음,서울대학교,국방과학연구소,"디지털모델, 전수명주기","digital product modeling, product lifecycle management framework","국내외 제품 모델 기술개발현황 분석, 디지털 제품 정보 표현/구조 표준화 방안",Development of product lifecycle management framework based on the digital product modeling,국방과학연구소
57,국방규격의 성능형 규격 확대 방안 연구,2013-09-01,2014-08-31,민군규격표준화사업,해당없음,안보경영연구원,국방과학연구소,"성능형 규격, 확대","performance requirements, expanding","국방규격의 성능형 규격 전환확대 제한원인 및 대안제시, 성능형 규격 전환 마스터플랜 수립, 혼합형 규격 전환 연구",Research on extending the application of performance requirements to military specifications,국방과학연구소
58,군수품 표준화 정책 발전방안 연구,2013-09-01,2014-08-31,민군규격표준화사업,해당없음,안보경영연구원,국방과학연구소,"표준화, 정책","Standardization, Policy","“국방표준화 업무 고도화를 통한 저비용고효율의 국방자원운영체계 구축 및 전투준비태세 제고 촉진”으로 설정하고, 본 비전을 달성할 수 있도록 국방표준화 업무의 위상 제고, 국방표준화 업무범위 확대, 국방표준화 업무 수행역량 및 효율성 제고 등 3대 정책방향을 수립",The Study on the Improvement Policy of Korean Defense Standardization,국방과학연구소
59,국방규격정비 및 후속조치 활성화 방안 연구 Ⅰ,2007-11-01,2008-08-31,민군규격표준화사업,해당없음,엠앤디정보기술,국방과학연구소,"국방규격, 후속조치","KDS, Follow-up measure","민군 규격 통일화 사업 후속조치 및 운영 실태 조사, 민군 규격 통일화 사업 후속조치 활성화 방안마련, 민군 규격 통일화 사업 비용대 효과 분석",The Study of Revitalization Methods for the Defense specifications Maintenance & Follow-up Measures,국방과학연구소
60,통전장비 및 부품류 환경시험 조건분석 및 규격통일 연구Ⅰ,1999-08-01,2000-07-31,민군규격표준화사업,해당없음,전자부품연구원,국방과학연구소,"통전장비, 환경시험, 통일화","Communication Systems, Environment Test, Unification","국내 환경시험 장비 보유현황 및 수행능력 DB작성, 환경조건 분석을 통해 국내여건에 맞는 통전장비 환경시험규격 작성, 통일화 대상 국방규격 선정 및 통일화(안) 작성",Communication Systems & parts Environment Test Study & Specifications Unification Project,국방과학연구소
61,통전장비 및 부품류 환경시험 조건분석 및 규격통일 연구 Ⅱ,2000-08-01,2001-06-30,민군규격표준화사업,해당없음,전자부품연구원,국방과학연구소,"통전장비, 환경시험, 통일화","Communication Systems, Environment Test, Unification","국내 환경시험 장비 보유현황 및 수행능력 DB작성, 환경조건 분석을 통해 국내여건에 맞는 통전장비 환경시험규격 작성, 통일화 대상 국방규격 선정 및 통일화(안) 작성",A Study on Unifying Specifications for Hand Tools,국방과학연구소
62,통전장비 및 부품류 환경시험 조건분석 및 규격통일 연구 Ⅲ,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,전자부품연구원,국방과학연구소,"통전장비, 환경시험, 통일화","Communication Systems, Environment Test, Unification","국내 환경시험 장비 보유현황 및 수행능력 DB작성, 환경조건 분석을 통해 국내여건에 맞는 통전장비 환경시험규격 작성, 통일화 대상 국방규격 선정 및 통일화(안) 작성",A Study on Unifying Specifications for Hand Tools,국방과학연구소
63,통전장비 및 부품류 환경시험 조건분석 및 규격통일 연구 Ⅳ,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,전자부품연구원,국방과학연구소,"통전장비, 환경시험, 통일화","Communication Systems, Environment Test, Unification","국내 환경시험 장비 보유현황 및 수행능력 DB작성, 환경조건 분석을 통해 국내여건에 맞는 통전장비 환경시험규격 작성, 통일화 대상 국방규격 선정 및 통일화(안) 작성",A Study on Unifying Specifications for Hand Tools,국방과학연구소
64,민군 겸용 환경시험 표준 제정 연구 Ⅰ,2004-09-01,2005-08-31,민군규격표준화사업,해당없음,전자부품연구원,국방과학연구소,"환경시험, 표준","Environmental, Standardization","민,군 겸용의 환경시험 표준 제정",Study for Environment Test Standard of Combined Use of Military & Public,국방과학연구소
65,민군 겸용 환경시험 표준 제정 연구 Ⅱ,2005-08-01,2006-07-31,민군규격표준화사업,해당없음,전자부품연구원,국방과학연구소,"환경시험, 표준","Environmental, Standardization","민,군 겸용의 환경시험 표준 제정",Study for Environment Test Standard of Combined Use of Military & Public,국방과학연구소
66,민군 겸용 환경시험 표준 제정 연구 Ⅲ,2006-08-01,2007-08-31,민군규격표준화사업,해당없음,전자부품연구원,국방과학연구소,"환경시험, 표준","Environmental, Standardization","민,군 겸용의 환경시험 표준 제정",Study for Environment Test Standard of Combined Use of Military & Public,국방과학연구소
67,포장설계 및 검색 프로그램 성능개선,2009-09-01,2010-08-31,민군규격표준화사업,해당없음,㈜로젠솔루션,국방과학연구소,"포장설계, 검색, 성능개선","Packaging Design, Research, Improvement","형상정보관리체계와의 연계, 포장사양설계 및 승인절차 전산화, 사용자 편의성 향상 및 기능 개선, 프로그램 유지보수",Improvement of the Military and Commercial Packaging Design and Search Program,국방과학연구소
68,표준부품 공용화를 위한 민군통합 DB구축 및 활용도구 개발 Ⅰ,2012-09-01,2013-08-31,민군규격표준화사업,해당없음,㈜부품DB,국방과학연구소,"표준부품 공용화, DB구축","Publication of Standard Parts, Database",표준부품 DB구축 및 민간표준 전환대상 식별 및 조치,Development of Parts Database and Utility for Publication of Standard Parts,국방과학연구소
69,표준부품 공용화를 위한 민군통합 DB 구축 및 활용도구 개발 Ⅱ,2012-09-01,2013-08-31,민군규격표준화사업,해당없음,㈜부품DB,국방과학연구소,"표준부품 공용화, DB구축","Publication of Standard Parts, Database",표준부품 DB구축 및 민간표준 전환대상 식별 및 조치,Development of Parts Database and Utility for Publication of Standard Parts,국방과학연구소
